age,workclass,education,occupation,sex,hours.per.week,capital.investment-loss,income
32,Private,Masters,Exec-managerial,Male,40,1977,>50K
45,Local-gov,Bachelors,Exec-managerial,Male,50,1977,>50K
56,Private,Masters,Craft-repair,Male,44,1977,>50K
38,Private,Masters,Exec-managerial,Male,60,1977,>50K
45,Private,Assoc-voc,Sales,Male,50,1977,>50K
49,Private,Masters,Prof-specialty,Female,40,1977,>50K
36,Private,HS-grad,Prof-specialty,Male,40,1977,>50K
49,Private,Masters,Exec-managerial,Male,40,1977,>50K
30,Private,Doctorate,Prof-specialty,Male,40,1977,>50K
42,Self-emp-inc,Prof-school,Prof-specialty,Male,50,1977,>50K
55,Private,Masters,Exec-managerial,Male,40,1977,>50K
34,Private,Bachelors,Exec-managerial,Male,45,1977,>50K
54,Private,Doctorate,Prof-specialty,Male,50,1977,>50K
42,Self-emp-not-inc,Bachelors,Exec-managerial,Male,70,1977,>50K
25,Local-gov,Bachelors,Prof-specialty,Male,40,1977,>50K
55,Self-emp-inc,HS-grad,Exec-managerial,Male,45,1977,>50K
58,State-gov,Masters,Prof-specialty,Male,50,1977,>50K
62,Private,HS-grad,Transport-moving,Male,60,1977,>50K
43,Self-emp-inc,Prof-school,Prof-specialty,Male,40,1977,>50K
57,Local-gov,Masters,Prof-specialty,Female,40,1977,>50K
42,Self-emp-inc,Doctorate,Prof-specialty,Male,60,1977,>50K
63,Self-emp-not-inc,Bachelors,Prof-specialty,Male,32,1977,>50K
47,Self-emp-not-inc,Prof-school,Prof-specialty,Male,50,1977,>50K
37,Private,Bachelors,Exec-managerial,Male,50,1977,>50K
40,Private,Bachelors,Sales,Male,60,1977,>50K
43,Private,Bachelors,Prof-specialty,Male,50,1977,>50K
43,State-gov,Prof-school,Prof-specialty,Male,70,1977,>50K
41,Self-emp-not-inc,Prof-school,Prof-specialty,Male,60,1977,>50K
32,Private,Prof-school,Prof-specialty,Male,60,1977,>50K
47,Private,Bachelors,Sales,Male,40,1977,>50K
39,Federal-gov,Some-college,Handlers-cleaners,Male,60,1977,>50K
53,Private,Some-college,Exec-managerial,Male,40,1977,>50K
36,Private,Bachelors,Exec-managerial,Male,40,1977,>50K
47,Local-gov,Masters,Exec-managerial,Male,41,1977,>50K
52,Private,Assoc-voc,Exec-managerial,Male,45,1977,>50K
40,Self-emp-not-inc,Prof-school,Prof-specialty,Male,60,1977,>50K
42,Self-emp-inc,Bachelors,Prof-specialty,Male,40,1977,>50K
51,Private,Masters,Protective-serv,Male,40,1977,>50K
55,Private,Masters,Tech-support,Male,20,1977,>50K
38,Private,HS-grad,Sales,Male,99,1977,>50K
52,Private,Some-college,Exec-managerial,Male,50,1977,>50K
60,Federal-gov,HS-grad,Tech-support,Male,40,1977,>50K
55,Private,Assoc-voc,Prof-specialty,Male,50,1977,>50K
47,Local-gov,Masters,Exec-managerial,Male,50,1977,>50K
46,Private,Masters,Tech-support,Male,40,1977,>50K
35,Private,Masters,Prof-specialty,Male,45,1977,>50K
59,Self-emp-inc,Bachelors,Exec-managerial,Male,50,1977,>50K
57,Private,Masters,Prof-specialty,Male,45,1977,>50K
46,Private,Some-college,Prof-specialty,Male,50,1977,>50K
46,Federal-gov,Masters,Exec-managerial,Male,40,1977,>50K
52,Private,HS-grad,Craft-repair,Male,40,1977,>50K
45,Private,Doctorate,Prof-specialty,Female,30,1977,>50K
37,Private,Bachelors,Tech-support,Male,40,1977,>50K
46,Private,Masters,Exec-managerial,Male,45,1977,>50K
44,Private,Bachelors,Prof-specialty,Male,50,1977,>50K
45,Private,Assoc-voc,Exec-managerial,Male,50,1977,>50K
43,Private,HS-grad,Machine-op-inspct,Male,52,1977,>50K
54,Local-gov,Masters,Prof-specialty,Male,40,1977,>50K
50,Private,Masters,Prof-specialty,Male,40,1977,>50K
51,Private,Bachelors,Exec-managerial,Male,60,1977,>50K
45,Private,Bachelors,Prof-specialty,Male,40,1977,>50K
36,Private,Masters,Prof-specialty,Male,60,1977,>50K
27,Private,Bachelors,Exec-managerial,Male,50,1977,>50K
36,Private,Bachelors,Sales,Male,35,1977,>50K
53,Private,Masters,Exec-managerial,Male,55,1977,>50K
51,Local-gov,Masters,Prof-specialty,Male,35,1977,>50K
28,Private,Bachelors,Prof-specialty,Female,24,1977,>50K
47,Self-emp-not-inc,Some-college,Craft-repair,Male,40,1977,>50K
45,Private,Bachelors,Exec-managerial,Male,60,1977,>50K
45,Local-gov,Masters,Prof-specialty,Female,35,1977,>50K
39,Self-emp-not-inc,Prof-school,Prof-specialty,Male,50,1977,>50K
39,Private,Bachelors,Exec-managerial,Male,40,1977,>50K
55,Self-emp-not-inc,Masters,Prof-specialty,Male,40,1977,>50K
62,Private,Some-college,Exec-managerial,Male,98,1977,>50K
49,Private,Bachelors,Sales,Male,50,1977,>50K
53,Self-emp-not-inc,Masters,Exec-managerial,Male,40,1977,>50K
31,Private,Masters,Exec-managerial,Male,48,1977,>50K
42,Self-emp-inc,HS-grad,Exec-managerial,Male,60,1977,>50K
39,Private,Bachelors,Transport-moving,Male,45,1977,>50K
60,Self-emp-not-inc,Bachelors,Exec-managerial,Male,45,1977,>50K
26,Private,Prof-school,Prof-specialty,Male,40,1977,>50K
37,Private,Masters,Exec-managerial,Male,40,1977,>50K
